Wear Mask in public,Work in setting outside the home,Use public transportation,Go for a walk in your neighborhood,Shop inside a store,Inside a friends house,Vaccination Status,Contract COVID
Somewhat likely,Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Taken,High
Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Unlikely,Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Not at all likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Unlikely,Not at all likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,High
Unlikely,Somewhat likely,Not at all likely,Somewhat likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Not at all likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Not at all likely,Extremely likely,Somewhat likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Not at all likely,Not at all likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,High
Extremely likely,Somewhat likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Not at all likely,Not at all likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,High
Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Extremely likely,Not at all likely,Not at all likely,Not at all likely,Somewhat likely,Taken,High
Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,High
Extremely likely,Somewhat likely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Not at all likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Taken,Low
Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Taken,Low
Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Unlikely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Somewhat likely,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,Low
Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Not at all likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Taken,Low
Unlikely,Not at all likely,Somewhat likely,Not at all likely,Extremely likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Not at all likely,Extremely likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Not at all likely,Not at all likely,Extremely likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,High
Somewhat likely,Somewhat likely,Not at all likely,Not at all likely,Not at all likely,Somewhat likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Not at all likely,Extremely likely,Not at all likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Unlikely,Somewhat likely,Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Taken,High
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Extremely likely,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Not at all likely,Taken,High
Unlikely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Unlikely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Taken,Low
Somewhat likely,Somewhat likely,Not at all likely,Somewhat likely,Extremely likely,Extremely likely,Taken,High
Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,High
Unlikely,Somewhat likely,Not at all likely,Somewhat likely,Extremely likely,Somewhat likely,Taken,High
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Taken,High
Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Taken,Low
Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Unlikely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Taken,Low
Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Somewhat likely,Not at all likely,Taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not taken,Low
Extremely likely,Not at all likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Not taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not taken,Low
Unlikely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Not at all likely,Not at all likely,Not taken,High
Unlikely,Extremely likely,Not at all likely,Somewhat likely,Somewhat likely,Not at all likely,Not taken,High
Somewhat likely,Somewhat likely,Not at all likely,Not at all likely,Extremely likely,Not at all likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not at all likely,Not taken,Low
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Not taken,High
Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely likely,Not at all likely,Not taken,High
Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Somewhat likely,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Not taken,High
Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Not taken,Low
Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Not at all likely,Not at all likely,Not taken,High
Somewhat likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Not at all likely,Not taken,Low
Extremely likely,Not at all likely,Not at all likely,Not at all likely,Somewhat likely,Somewhat likely,Not taken,High
Unlikely,Not at all likely,Somewhat likely,Extremely likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Somewhat likely,Extremely likely,Not taken,Low
Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely likely,Not taken,Low
Somewhat likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Extremely likely,Not at all likely,Not at all likely,Extremely likely,Not at all likely,Not at all likely,Not taken,High
Somewhat likely,Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Not taken,Low
Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Somewhat likely,Not at all likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Not at all likely,Extremely likely,Somewhat likely,Somewhat likely,Somewhat likely,Not taken,High
Extremely likely,Not at all likely,Somewhat likely,Somewhat likely,Somewhat likely,Somewhat likely,Not taken,High
Somewhat likely,Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Not at all likely,Not taken,High
Extremely likely,Somewhat likely,Extremely likely,Not at all likely,Not at all likely,Extremely likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Extremely likely,Not taken,Low
Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Extremely likely,Extremely likely,Not at all likely,Not at all likely,Not at all likely,Extremely likely,Not taken,Low
Unlikely,Not at all likely,Somewhat likely,Extremely likely,Not at all likely,Somewhat likely,Not taken,High
Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Extremely likely,Somewhat likely,Not taken,Low
Somewhat likely,Somewhat likely,Extremely likely,Extremely likely,Extremely likely,Somewhat likely,Not taken,Low
Extremely likely,Extremely likely,Somewhat likely,Somewhat likely,Extremely likely,Somewhat likely,Not taken,Low
